,song_title,artist_name,ids
0,The Hits--Chapter One,Backstreet Boys,1NslKOZobWxINFaFkLol3r
1,I Wish You Love: More From The Bodyguard,Whitney Houston,3qEUTNGTeDXwYwSl3v2hNV
2,No Strings Attached,*NSYNC,5hMd4vAfSUT1cbYCnRUako
3,Come On Over,Shania Twain,1Xq7GtFHmTt110bmxQrtC4
4,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],Oasis,6ozp33PI3p9AdddB6ZL3xQ
5,Backstreet's Back,Backstreet Boys,2U9ONknz1iFEK9drEKLx8v
6,It's A Man's World,Cher,2PnxssdlO80Mt9ipZnu7MF
7,Spiceworld,Spice Girls,3sr6lAuO3nmB1u8ZuQgpiX
8,Dizzy Up The Girl,The Goo Goo Dolls,4UMjBXcRqIgMZ1XumU2x5T
9,Greatest Hits,Sixpence None The Richer,3URghLWYuHoUwnzvfNnNn5
10,Cracked Rear View,Hootie & The Blowfish,5AYmpTfdv1OoASUJ5rZB7K
11,Believe,Cher,0jZfbz0dNfDjPSg0hYJNth
12,Spice,Spice Girls,3x2jF7blR6bFHtk4MccsyJ
13,The Best Of Big Mountain,Big Mountain,4QHFXQLRwZx5122InHluo5
14,A Different Beat,Boyzone,6v6BH1znvQFCn3GBsyqVBj
15,Fanmail,TLC,1CvjjpvqVMoyprsf74bpYW
16,Tal Bachman,Tal Bachman,3v17hBg9lx5vdJQ8Dfr6OD
17,Wilson Phillips,Wilson Phillips,1Xi55xFMaymXdSWshmxhw2
18,Home,Deep Blue Something,0f3MAWN7G0RtC7UT6lj6x9
19,(What's the Story) Morning Glory,Oasis,5NCJ52G67LVp5elc367Sjs
20,The New Best Of (All Hits & Remixes) 2016,Backstreet Boys,39gSR80KryAcX955TARfGg
21,Glorious: The Singles 97-07,Natalie Imbruglia,5snQakFpbHsJmrAvhgeuHX
22,I'll Be There For You (Theme From FRIENDS) / Snippets: Don't Hide Your Love / End Of The Beginning / Lovin' Me Insane / Drowning In Your Tears / This House Is Not A Home / What Will It Take [Digital 45],The Rembrandts,4CO85kzQhLUTWkVBoQ4OKu
23,Yourself Or Someone Like You,Matchbox Twenty,4vUXTcKz7tXxrNl84meN6i
24,Jagged Little Pill,Alanis Morissette,09AwlP99cHfKVNKv4FC8VW
25,The Writing's On The Wall,Destiny's Child,78r5vrR1Wf60JPgFQ1drwr
26,The La's,The La's,1djwiQ802xeU8Q45jv1b0x
27,Guilty Pleasures (International Version),Hanson,2F3jGeVC9Oua9omnR6Uoi8
28,Diva,Annie Lennox,33ImEB9taJ3Tie4APfTL7B
29,...Baby One More Time (Digital Deluxe Version),Britney Spears,3WNxdumkSMGMJRhEgK80qx
30,Savage Garden,Savage Garden,73I6LRyJDx4scO2zlMqR8m
31,Now In A Minute,Donna Lewis,1VzYTrtId9CgUTo7VQBFbL
32,The Hits,Faith Hill,7fvl3dOnDrv9rq5IBmLbAa
33,All-4-One,All-4-One,4L5ZA0GukWNWjsk9b7HHDy
34,Armageddon - The Album,Aerosmith,4f7HKjBnjpMsDBDTHYV890
35,Daydream,Mariah Carey,1ibYM4abQtSVQFQWvDSo4J
36,Nobody Else,Take That,5QnHvl0ne6yEhRGw3ajvFF
37,Astro Lounge,Smash Mouth,2kyTLcEZe6nc1s6ve0zW9P
38,"Everybody Else Is Doing It, So Why Can't We?",The Cranberries,0AP5O47kJWlaKVnnybKvQI
39,Christina Aguilera (Expanded Edition),Christina Aguilera,6fpPZS13ImRVpr7Tqs6yP9
40,Life Thru A Lens,Robbie Williams,31Sx9uz9KqlvmX07Pvp0wN
41,Falling Into You,Céline Dion,55UPmpHLvZKGgTPUD1woES
42,Deep Cuts: The Best Of The Ballads,Mr. Big,0DYLNt604AgwFMQhK3HNLR
43,SNAP! The Power Greatest Hits,SNAP!,3SxQyJ7t7NVkUrJYh0TZqi
44,16 Biggest Hits,Lonestar,2JZvVC4RftWDbyhEFfpATZ
45,Heart In Motion,Amy Grant,6YbWlg2x8aIHASDTunWF8H
46,Listen Without Prejudice / MTV Unplugged (Deluxe),George Michael,0ZeOyoJHPD6czbTPAT9Qaj
47,#1 to Infinity,Mariah Carey,3FSCbVL6dGzqkHwn7LYqxK
